Name,McDonalds
California,1492
Texas,1224
Florida,986
Ohio,823
New York,767
Illinois,738
Michigan,631
Pennsylvania,583
Georgia,511
North Carolina,475
Virginia,445
Tennessee,393
Indiana,392
Maryland,375
Missouri,368
Wisconsin,341
Washington,326
New Jersey,311
Massachusetts,297
Arizona,292
Louisiana,291
Minnesota,282
Alabama,279
Kentucky,261
South Carolina,258
Colorado,237
Oklahoma,217
Oregon,205
Arkansas,184
Kansas,184
Iowa,173
Mississippi,162
Connecticut,157
Nevada,155
Utah,111
West Virginia,101
New Mexico,100
Nebraska,89
Maine,72
Idaho,69
New Hampshire,69
Hawaii,65
Montana,55
Delaware,44
Rhode Island,44
South Dakota,36
Wyoming,32
Alaska,31
Vermont,30
North Dakota,29
